Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 2,700,10,"(5, 1, 1, 1)",0.0000,0.0055
Scenario 3,700,10,"(1, 5, 1, 1)",0.0000,0.0061
Scenario 4,700,10,"(1, 1, 5, 1)",0.0000,0.0061
Scenario 5,700,10,"(1, 1, 1, 5)",0.0000,0.0055
Scenario 1,700,50,"(1, 1, 1, 1)",0.0001,0.0274
Scenario 2,700,50,"(5, 1, 1, 1)",0.0001,0.0268
Scenario 3,700,50,"(1, 5, 1, 1)",0.0001,0.0275
Scenario 4,700,50,"(1, 1, 5, 1)",0.0000,0.0258
Scenario 5,700,50,"(1, 1, 1, 5)",0.0001,0.0291
Scenario 1,700,100,"(1, 1, 1, 1)",0.0001,0.0559
Scenario 2,700,100,"(5, 1, 1, 1)",0.0003,0.0564
Scenario 3,700,100,"(1, 5, 1, 1)",0.0001,0.0556
Scenario 4,700,100,"(1, 1, 5, 1)",0.0001,0.0557
Scenario 5,700,100,"(1, 1, 1, 5)",0.0001,0.0563
Scenario 1,700,200,"(1, 1, 1, 1)",0.0003,0.1072
Scenario 2,700,200,"(5, 1, 1, 1)",0.0004,0.1084
Scenario 3,700,200,"(1, 5, 1, 1)",0.0003,0.1143
Scenario 4,700,200,"(1, 1, 5, 1)",0.0002,0.1090
Scenario 5,700,200,"(1, 1, 1, 5)",0.0004,0.1195
Scenario 1,700,300,"(1, 1, 1, 1)",0.0005,0.1731
Scenario 2,700,300,"(5, 1, 1, 1)",0.0009,0.1866
Scenario 3,700,300,"(1, 5, 1, 1)",0.0005,0.1767
Scenario 4,700,300,"(1, 1, 5, 1)",0.0003,0.1633
Scenario 5,700,300,"(1, 1, 1, 5)",0.0005,0.1622
Scenario 1,700,400,"(1, 1, 1, 1)",0.0007,0.2324
Scenario 2,700,400,"(5, 1, 1, 1)",0.0010,0.2301
Scenario 3,700,400,"(1, 5, 1, 1)",0.0004,0.2163
Scenario 4,700,400,"(1, 1, 5, 1)",0.0005,0.2219
Scenario 5,700,400,"(1, 1, 1, 5)",0.0006,0.2247
Scenario 1,700,500,"(1, 1, 1, 1)",0.0008,0.2728
Scenario 2,700,500,"(5, 1, 1, 1)",0.0013,0.2916
Scenario 3,700,500,"(1, 5, 1, 1)",0.0006,0.2779
Scenario 4,700,500,"(1, 1, 5, 1)",0.0007,0.2906
Scenario 5,700,500,"(1, 1, 1, 5)",0.0017,0.4462
Scenario 1,700,600,"(1, 1, 1, 1)",0.0011,0.3545
Scenario 2,700,600,"(5, 1, 1, 1)",0.0014,0.3468
Scenario 3,700,600,"(1, 5, 1, 1)",0.0007,0.3227
Scenario 4,700,600,"(1, 1, 5, 1)",0.0007,0.3382
Scenario 5,700,600,"(1, 1, 1, 5)",0.0011,0.3325
Scenario 1,700,700,"(1, 1, 1, 1)",0.0015,0.4200
Scenario 2,700,700,"(5, 1, 1, 1)",0.0020,0.4316
Scenario 3,700,700,"(1, 5, 1, 1)",0.0010,0.4073
Scenario 4,700,700,"(1, 1, 5, 1)",0.0011,0.4069
Scenario 5,700,700,"(1, 1, 1, 5)",0.0014,0.3930
Scenario 1,700,800,"(1, 1, 1, 1)",0.0019,0.4920
Scenario 2,700,800,"(5, 1, 1, 1)",0.0022,0.4996
Scenario 3,700,800,"(1, 5, 1, 1)",0.0011,0.4579
Scenario 4,700,800,"(1, 1, 5, 1)",0.0011,0.4623
Scenario 5,700,800,"(1, 1, 1, 5)",0.0015,0.4656
Scenario 1,700,900,"(1, 1, 1, 1)",0.0017,0.5192
Scenario 2,700,900,"(5, 1, 1, 1)",0.0027,0.5593
Scenario 3,700,900,"(1, 5, 1, 1)",0.0010,0.4989
Scenario 4,700,900,"(1, 1, 5, 1)",0.0012,0.5268
Scenario 5,700,900,"(1, 1, 1, 5)",0.0017,0.5099
Scenario 1,700,1000,"(1, 1, 1, 1)",0.0020,0.6020
Scenario 2,700,1000,"(5, 1, 1, 1)",0.0029,0.6247
Scenario 3,700,1000,"(1, 5, 1, 1)",0.0013,0.5802
Scenario 4,700,1000,"(1, 1, 5, 1)",0.0013,0.5774
Scenario 5,700,1000,"(1, 1, 1, 5)",0.0021,0.5781
Scenario 1,700,2000,"(1, 1, 1, 1)",0.0038,1.2094
Scenario 2,700,2000,"(5, 1, 1, 1)",0.0063,1.4280
Scenario 3,700,2000,"(1, 5, 1, 1)",0.0031,1.1972
Scenario 4,700,2000,"(1, 1, 5, 1)",0.0029,1.1944
Scenario 5,700,2000,"(1, 1, 1, 5)",0.0064,1.5673
Scenario 1,700,3000,"(1, 1, 1, 1)",0.0098,2.3843
Scenario 2,700,3000,"(5, 1, 1, 1)",0.0108,2.6641
Scenario 3,700,3000,"(1, 5, 1, 1)",0.0049,1.9097
Scenario 4,700,3000,"(1, 1, 5, 1)",0.0040,1.8179
Scenario 5,700,3000,"(1, 1, 1, 5)",0.0070,1.8348
Scenario 1,700,4000,"(1, 1, 1, 1)",0.0090,2.6578
Scenario 2,700,4000,"(5, 1, 1, 1)",0.0125,3.9744
Scenario 3,700,4000,"(1, 5, 1, 1)",0.0059,2.6155
Scenario 4,700,4000,"(1, 1, 5, 1)",0.0068,2.5113
Scenario 5,700,4000,"(1, 1, 1, 5)",0.0093,2.4980
Scenario 1,700,5000,"(1, 1, 1, 1)",0.0116,3.5566
Scenario 2,700,5000,"(5, 1, 1, 1)",0.0136,5.9058
Scenario 3,700,5000,"(1, 5, 1, 1)",0.0089,3.3970
Scenario 4,700,5000,"(1, 1, 5, 1)",0.0084,3.3590
Scenario 5,700,5000,"(1, 1, 1, 5)",0.0125,3.1334
Scenario 1,800,10,"(1, 1, 1, 1)",0.0001,0.0082
Scenario 2,800,10,"(5, 1, 1, 1)",0.0000,0.0062
Scenario 3,800,10,"(1, 5, 1, 1)",0.0000,0.0064
Scenario 4,800,10,"(1, 1, 5, 1)",0.0000,0.0066
Scenario 5,800,10,"(1, 1, 1, 5)",0.0001,0.0098
Scenario 1,800,50,"(1, 1, 1, 1)",0.0001,0.0333
Scenario 2,800,50,"(5, 1, 1, 1)",0.0001,0.0332
Scenario 3,800,50,"(1, 5, 1, 1)",0.0001,0.0338
Scenario 4,800,50,"(1, 1, 5, 1)",0.0001,0.0337
Scenario 5,800,50,"(1, 1, 1, 5)",0.0001,0.0340
Scenario 1,800,100,"(1, 1, 1, 1)",0.0002,0.0716
Scenario 2,800,100,"(5, 1, 1, 1)",0.0002,0.0693
Scenario 3,800,100,"(1, 5, 1, 1)",0.0001,0.0682
Scenario 4,800,100,"(1, 1, 5, 1)",0.0001,0.0678
Scenario 5,800,100,"(1, 1, 1, 5)",0.0002,0.0700
Scenario 1,800,200,"(1, 1, 1, 1)",0.0004,0.1454
Scenario 2,800,200,"(5, 1, 1, 1)",0.0006,0.1568
Scenario 3,800,200,"(1, 5, 1, 1)",0.0002,0.1327
Scenario 4,800,200,"(1, 1, 5, 1)",0.0002,0.1316
Scenario 5,800,200,"(1, 1, 1, 5)",0.0003,0.1287
Scenario 1,800,300,"(1, 1, 1, 1)",0.0006,0.2028
Scenario 2,800,300,"(5, 1, 1, 1)",0.0008,0.2048
Scenario 3,800,300,"(1, 5, 1, 1)",0.0004,0.1974
Scenario 4,800,300,"(1, 1, 5, 1)",0.0004,0.2079
Scenario 5,800,300,"(1, 1, 1, 5)",0.0006,0.1996
Scenario 1,800,400,"(1, 1, 1, 1)",0.0007,0.2812
Scenario 2,800,400,"(5, 1, 1, 1)",0.0016,0.3489
Scenario 3,800,400,"(1, 5, 1, 1)",0.0006,0.2722
Scenario 4,800,400,"(1, 1, 5, 1)",0.0004,0.2697
Scenario 5,800,400,"(1, 1, 1, 5)",0.0008,0.2767
Scenario 1,800,500,"(1, 1, 1, 1)",0.0011,0.3563
Scenario 2,800,500,"(5, 1, 1, 1)",0.0014,0.3538
Scenario 3,800,500,"(1, 5, 1, 1)",0.0006,0.3285
Scenario 4,800,500,"(1, 1, 5, 1)",0.0007,0.3333
Scenario 5,800,500,"(1, 1, 1, 5)",0.0009,0.3249
Scenario 1,800,600,"(1, 1, 1, 1)",0.0012,0.4170
Scenario 2,800,600,"(5, 1, 1, 1)",0.0018,0.4477
Scenario 3,800,600,"(1, 5, 1, 1)",0.0008,0.4157
Scenario 4,800,600,"(1, 1, 5, 1)",0.0009,0.4127
Scenario 5,800,600,"(1, 1, 1, 5)",0.0014,0.4016
Scenario 1,800,700,"(1, 1, 1, 1)",0.0014,0.4982
Scenario 2,800,700,"(5, 1, 1, 1)",0.0017,0.4881
Scenario 3,800,700,"(1, 5, 1, 1)",0.0008,0.4574
Scenario 4,800,700,"(1, 1, 5, 1)",0.0010,0.4706
Scenario 5,800,700,"(1, 1, 1, 5)",0.0011,0.4581
Scenario 1,800,800,"(1, 1, 1, 1)",0.0018,0.5983
Scenario 2,800,800,"(5, 1, 1, 1)",0.0020,0.5541
Scenario 3,800,800,"(1, 5, 1, 1)",0.0012,0.5456
Scenario 4,800,800,"(1, 1, 5, 1)",0.0010,0.5357
Scenario 5,800,800,"(1, 1, 1, 5)",0.0015,0.5422
Scenario 1,800,900,"(1, 1, 1, 1)",0.0014,0.5929
Scenario 2,800,900,"(5, 1, 1, 1)",0.0026,0.6362
Scenario 3,800,900,"(1, 5, 1, 1)",0.0016,0.7918
Scenario 4,800,900,"(1, 1, 5, 1)",0.0014,0.6243
Scenario 5,800,900,"(1, 1, 1, 5)",0.0018,0.6136
Scenario 1,800,1000,"(1, 1, 1, 1)",0.0018,0.7063
Scenario 2,800,1000,"(5, 1, 1, 1)",0.0029,0.7038
Scenario 3,800,1000,"(1, 5, 1, 1)",0.0016,0.7188
Scenario 4,800,1000,"(1, 1, 5, 1)",0.0013,0.7019
Scenario 5,800,1000,"(1, 1, 1, 5)",0.0019,0.6887
Scenario 1,800,2000,"(1, 1, 1, 1)",0.0047,1.4973
Scenario 2,800,2000,"(5, 1, 1, 1)",0.0063,1.5554
Scenario 3,800,2000,"(1, 5, 1, 1)",0.0030,1.4157
Scenario 4,800,2000,"(1, 1, 5, 1)",0.0029,1.4278
Scenario 5,800,2000,"(1, 1, 1, 5)",0.0043,1.4265
Scenario 1,800,3000,"(1, 1, 1, 1)",0.0066,2.2105
Scenario 2,800,3000,"(5, 1, 1, 1)",0.0095,2.7194
Scenario 3,800,3000,"(1, 5, 1, 1)",0.0061,2.1295
Scenario 4,800,3000,"(1, 1, 5, 1)",0.0052,2.3733
Scenario 5,800,3000,"(1, 1, 1, 5)",0.0066,2.1689
Scenario 1,800,4000,"(1, 1, 1, 1)",0.0076,2.8410
Scenario 2,800,4000,"(5, 1, 1, 1)",0.0111,3.9993
Scenario 3,800,4000,"(1, 5, 1, 1)",0.0061,2.8674
Scenario 4,800,4000,"(1, 1, 5, 1)",0.0057,2.8682
Scenario 5,800,4000,"(1, 1, 1, 5)",0.0106,3.1087
Scenario 1,800,5000,"(1, 1, 1, 1)",0.0107,3.8311
Scenario 2,800,5000,"(5, 1, 1, 1)",0.0170,6.2214
Scenario 3,800,5000,"(1, 5, 1, 1)",0.0084,3.8009
Scenario 4,800,5000,"(1, 1, 5, 1)",0.0075,3.6197
Scenario 5,800,5000,"(1, 1, 1, 5)",0.0152,4.2781
Scenario 1,900,10,"(1, 1, 1, 1)",0.0000,0.0072
Scenario 2,900,10,"(5, 1, 1, 1)",0.0000,0.0090
Scenario 3,900,10,"(1, 5, 1, 1)",0.0000,0.0073
Scenario 4,900,10,"(1, 1, 5, 1)",0.0000,0.0072
Scenario 5,900,10,"(1, 1, 1, 5)",0.0000,0.0072
Scenario 1,900,50,"(1, 1, 1, 1)",0.0001,0.0378
Scenario 2,900,50,"(5, 1, 1, 1)",0.0001,0.0382
Scenario 3,900,50,"(1, 5, 1, 1)",0.0001,0.0349
Scenario 4,900,50,"(1, 1, 5, 1)",0.0001,0.0383
Scenario 5,900,50,"(1, 1, 1, 5)",0.0001,0.0355
Scenario 1,900,100,"(1, 1, 1, 1)",0.0001,0.0683
Scenario 2,900,100,"(5, 1, 1, 1)",0.0003,0.0837
Scenario 3,900,100,"(1, 5, 1, 1)",0.0001,0.0750
Scenario 4,900,100,"(1, 1, 5, 1)",0.0001,0.0721
Scenario 5,900,100,"(1, 1, 1, 5)",0.0003,0.0769
Scenario 1,900,200,"(1, 1, 1, 1)",0.0004,0.1681
Scenario 2,900,200,"(5, 1, 1, 1)",0.0005,0.1532
Scenario 3,900,200,"(1, 5, 1, 1)",0.0002,0.1411
Scenario 4,900,200,"(1, 1, 5, 1)",0.0002,0.1447
Scenario 5,900,200,"(1, 1, 1, 5)",0.0004,0.1448
Scenario 1,900,300,"(1, 1, 1, 1)",0.0005,0.2228
Scenario 2,900,300,"(5, 1, 1, 1)",0.0009,0.2342
Scenario 3,900,300,"(1, 5, 1, 1)",0.0005,0.2304
Scenario 4,900,300,"(1, 1, 5, 1)",0.0004,0.2228
Scenario 5,900,300,"(1, 1, 1, 5)",0.0006,0.2268
Scenario 1,900,400,"(1, 1, 1, 1)",0.0006,0.2976
Scenario 2,900,400,"(5, 1, 1, 1)",0.0015,0.3391
Scenario 3,900,400,"(1, 5, 1, 1)",0.0005,0.2985
Scenario 4,900,400,"(1, 1, 5, 1)",0.0006,0.3053
Scenario 5,900,400,"(1, 1, 1, 5)",0.0011,0.3482
Scenario 1,900,500,"(1, 1, 1, 1)",0.0012,0.4381
Scenario 2,900,500,"(5, 1, 1, 1)",0.0015,0.4098
Scenario 3,900,500,"(1, 5, 1, 1)",0.0006,0.3719
Scenario 4,900,500,"(1, 1, 5, 1)",0.0006,0.3573
Scenario 5,900,500,"(1, 1, 1, 5)",0.0009,0.3641
Scenario 1,900,600,"(1, 1, 1, 1)",0.0014,0.4831
Scenario 2,900,600,"(5, 1, 1, 1)",0.0017,0.5054
Scenario 3,900,600,"(1, 5, 1, 1)",0.0009,0.4530
Scenario 4,900,600,"(1, 1, 5, 1)",0.0008,0.4553
Scenario 5,900,600,"(1, 1, 1, 5)",0.0013,0.4729
Scenario 1,900,700,"(1, 1, 1, 1)",0.0013,0.5385
Scenario 2,900,700,"(5, 1, 1, 1)",0.0017,0.5482
Scenario 3,900,700,"(1, 5, 1, 1)",0.0008,0.5070
Scenario 4,900,700,"(1, 1, 5, 1)",0.0008,0.4996
Scenario 5,900,700,"(1, 1, 1, 5)",0.0015,0.5231
Scenario 1,900,800,"(1, 1, 1, 1)",0.0020,0.6609
Scenario 2,900,800,"(5, 1, 1, 1)",0.0024,0.6709
Scenario 3,900,800,"(1, 5, 1, 1)",0.0011,0.6065
Scenario 4,900,800,"(1, 1, 5, 1)",0.0010,0.5881
Scenario 5,900,800,"(1, 1, 1, 5)",0.0019,0.6495
Scenario 1,900,900,"(1, 1, 1, 1)",0.0019,0.7142
Scenario 2,900,900,"(5, 1, 1, 1)",0.0026,0.7182
Scenario 3,900,900,"(1, 5, 1, 1)",0.0011,0.6756
Scenario 4,900,900,"(1, 1, 5, 1)",0.0016,0.9236
Scenario 5,900,900,"(1, 1, 1, 5)",0.0017,0.6782
Scenario 1,900,1000,"(1, 1, 1, 1)",0.0022,0.8155
Scenario 2,900,1000,"(5, 1, 1, 1)",0.0029,0.8225
Scenario 3,900,1000,"(1, 5, 1, 1)",0.0013,0.7377
Scenario 4,900,1000,"(1, 1, 5, 1)",0.0011,0.7432
Scenario 5,900,1000,"(1, 1, 1, 5)",0.0016,0.7146
Scenario 1,900,2000,"(1, 1, 1, 1)",0.0032,1.5136
Scenario 2,900,2000,"(5, 1, 1, 1)",0.0046,1.5678
Scenario 3,900,2000,"(1, 5, 1, 1)",0.0018,1.4240
Scenario 4,900,2000,"(1, 1, 5, 1)",0.0021,1.4448
Scenario 5,900,2000,"(1, 1, 1, 5)",0.0038,1.5185
Scenario 1,900,3000,"(1, 1, 1, 1)",0.0070,2.5072
Scenario 2,900,3000,"(5, 1, 1, 1)",0.0098,2.8814
Scenario 3,900,3000,"(1, 5, 1, 1)",0.0049,2.6102
Scenario 4,900,3000,"(1, 1, 5, 1)",0.0043,2.4272
Scenario 5,900,3000,"(1, 1, 1, 5)",0.0072,2.4849
Scenario 1,900,4000,"(1, 1, 1, 1)",0.0095,3.3796
Scenario 2,900,4000,"(5, 1, 1, 1)",0.0133,4.5161
Scenario 3,900,4000,"(1, 5, 1, 1)",0.0072,3.5728
Scenario 4,900,4000,"(1, 1, 5, 1)",0.0081,3.9320
Scenario 5,900,4000,"(1, 1, 1, 5)",0.0088,3.2229
Scenario 1,900,5000,"(1, 1, 1, 1)",0.0113,4.2813
Scenario 2,900,5000,"(5, 1, 1, 1)",0.0173,6.8979
Scenario 3,900,5000,"(1, 5, 1, 1)",0.0106,4.5636
Scenario 4,900,5000,"(1, 1, 5, 1)",0.0083,4.0866
Scenario 5,900,5000,"(1, 1, 1, 5)",0.0113,3.9647
Scenario 1,1000,10,"(1, 1, 1, 1)",0.0000,0.0075
Scenario 2,1000,10,"(5, 1, 1, 1)",0.0000,0.0078
Scenario 3,1000,10,"(1, 5, 1, 1)",0.0000,0.0080
Scenario 4,1000,10,"(1, 1, 5, 1)",0.0000,0.0075
Scenario 5,1000,10,"(1, 1, 1, 5)",0.0000,0.0073
Scenario 1,1000,50,"(1, 1, 1, 1)",0.0001,0.0399
Scenario 2,1000,50,"(5, 1, 1, 1)",0.0001,0.0401
Scenario 3,1000,50,"(1, 5, 1, 1)",0.0001,0.0412
Scenario 4,1000,50,"(1, 1, 5, 1)",0.0001,0.0385
Scenario 5,1000,50,"(1, 1, 1, 5)",0.0001,0.0398
Scenario 1,1000,100,"(1, 1, 1, 1)",0.0002,0.0830
Scenario 2,1000,100,"(5, 1, 1, 1)",0.0002,0.0793
Scenario 3,1000,100,"(1, 5, 1, 1)",0.0001,0.0811
Scenario 4,1000,100,"(1, 1, 5, 1)",0.0001,0.0811
Scenario 5,1000,100,"(1, 1, 1, 5)",0.0002,0.0796
Scenario 1,1000,200,"(1, 1, 1, 1)",0.0005,0.1640
Scenario 2,1000,200,"(5, 1, 1, 1)",0.0006,0.1683
Scenario 3,1000,200,"(1, 5, 1, 1)",0.0003,0.1652
Scenario 4,1000,200,"(1, 1, 5, 1)",0.0003,0.1628
Scenario 5,1000,200,"(1, 1, 1, 5)",0.0004,0.1602
Scenario 1,1000,300,"(1, 1, 1, 1)",0.0006,0.2528
Scenario 2,1000,300,"(5, 1, 1, 1)",0.0009,0.2594
Scenario 3,1000,300,"(1, 5, 1, 1)",0.0005,0.2510
Scenario 4,1000,300,"(1, 1, 5, 1)",0.0005,0.2519
Scenario 5,1000,300,"(1, 1, 1, 5)",0.0009,0.3142
Scenario 1,1000,400,"(1, 1, 1, 1)",0.0006,0.3217
Scenario 2,1000,400,"(5, 1, 1, 1)",0.0010,0.3399
Scenario 3,1000,400,"(1, 5, 1, 1)",0.0005,0.3156
Scenario 4,1000,400,"(1, 1, 5, 1)",0.0004,0.3178
Scenario 5,1000,400,"(1, 1, 1, 5)",0.0008,0.3216
Scenario 1,1000,500,"(1, 1, 1, 1)",0.0008,0.4058
Scenario 2,1000,500,"(5, 1, 1, 1)",0.0013,0.4221
Scenario 3,1000,500,"(1, 5, 1, 1)",0.0007,0.4128
Scenario 4,1000,500,"(1, 1, 5, 1)",0.0006,0.4080
Scenario 5,1000,500,"(1, 1, 1, 5)",0.0011,0.4105
Scenario 1,1000,600,"(1, 1, 1, 1)",0.0012,0.5102
Scenario 2,1000,600,"(5, 1, 1, 1)",0.0020,0.5580
Scenario 3,1000,600,"(1, 5, 1, 1)",0.0010,0.5192
Scenario 4,1000,600,"(1, 1, 5, 1)",0.0008,0.5038
Scenario 5,1000,600,"(1, 1, 1, 5)",0.0012,0.4846
Scenario 1,1000,700,"(1, 1, 1, 1)",0.0010,0.5604
Scenario 2,1000,700,"(5, 1, 1, 1)",0.0016,0.5849
Scenario 3,1000,700,"(1, 5, 1, 1)",0.0012,0.7758
Scenario 4,1000,700,"(1, 1, 5, 1)",0.0008,0.5552
Scenario 5,1000,700,"(1, 1, 1, 5)",0.0012,0.5615
Scenario 1,1000,800,"(1, 1, 1, 1)",0.0011,0.6493
Scenario 2,1000,800,"(5, 1, 1, 1)",0.0026,0.7331
Scenario 3,1000,800,"(1, 5, 1, 1)",0.0013,0.6803
Scenario 4,1000,800,"(1, 1, 5, 1)",0.0012,0.6756
Scenario 5,1000,800,"(1, 1, 1, 5)",0.0016,0.6618
Scenario 1,1000,900,"(1, 1, 1, 1)",0.0017,0.7726
Scenario 2,1000,900,"(5, 1, 1, 1)",0.0024,0.7993
Scenario 3,1000,900,"(1, 5, 1, 1)",0.0014,0.7581
Scenario 4,1000,900,"(1, 1, 5, 1)",0.0012,0.7392
Scenario 5,1000,900,"(1, 1, 1, 5)",0.0014,0.7045
Scenario 1,1000,1000,"(1, 1, 1, 1)",0.0014,0.8056
Scenario 2,1000,1000,"(5, 1, 1, 1)",0.0026,0.8646
Scenario 3,1000,1000,"(1, 5, 1, 1)",0.0012,0.7941
Scenario 4,1000,1000,"(1, 1, 5, 1)",0.0014,0.8453
Scenario 5,1000,1000,"(1, 1, 1, 5)",0.0020,0.8388
Scenario 1,1000,2000,"(1, 1, 1, 1)",0.0046,1.8756
Scenario 2,1000,2000,"(5, 1, 1, 1)",0.0061,1.8563
Scenario 3,1000,2000,"(1, 5, 1, 1)",0.0030,1.7566
Scenario 4,1000,2000,"(1, 1, 5, 1)",0.0036,1.9520
Scenario 5,1000,2000,"(1, 1, 1, 5)",0.0039,1.6537
Scenario 1,1000,3000,"(1, 1, 1, 1)",0.0063,2.6807
Scenario 2,1000,3000,"(5, 1, 1, 1)",0.0096,3.1138
Scenario 3,1000,3000,"(1, 5, 1, 1)",0.0033,2.4645
Scenario 4,1000,3000,"(1, 1, 5, 1)",0.0034,2.4704
Scenario 5,1000,3000,"(1, 1, 1, 5)",0.0064,2.6364
Scenario 1,1000,4000,"(1, 1, 1, 1)",0.0080,3.5270
Scenario 2,1000,4000,"(5, 1, 1, 1)",0.0112,4.6975
Scenario 3,1000,4000,"(1, 5, 1, 1)",0.0062,5.0860
Scenario 4,1000,4000,"(1, 1, 5, 1)",0.0073,4.6573
Scenario 5,1000,4000,"(1, 1, 1, 5)",0.0117,4.2283
Scenario 1,1000,5000,"(1, 1, 1, 1)",0.0136,5.2014
Scenario 2,1000,5000,"(5, 1, 1, 1)",0.0202,7.8303
Scenario 3,1000,5000,"(1, 5, 1, 1)",0.0096,5.1322
Scenario 4,1000,5000,"(1, 1, 5, 1)",0.0106,5.6160
Scenario 5,1000,5000,"(1, 1, 1, 5)",0.0130,4.7576
